left_out_opponent,remaining_games,rule_id,games,win_pct,complement_win_pct,win_pct_delta,avg_run_diff,complement_avg_run_diff,run_diff_delta,avg_team_runs,avg_opp_runs,avg_of_rbi,avg_unearned_runs,avg_ofdh_run_kill
KIA,56,R1_rhp_low_of_conversion_run_trade,20,0.1,0.6111111111111112,-0.5111111111111112,-5.1,1.8333333333333333,-6.933333333333333,3.6,8.7,0.85,0.55,0.4
KIA,56,R2_rhp_ofdh_run_kill,8,0.0,0.5,-0.5,-5.375,0.14583333333333334,-5.520833333333333,3.25,8.625,0.875,1.0,1.125
KIA,56,R3_extra_out_high_of_void,7,0.0,0.4897959183673469,-0.4897959183673469,-5.0,-0.02040816326530612,-4.979591836734694,2.4285714285714284,7.428571428571429,0.42857142857142855,2.0,0.5714285714285714
KIA,56,R4_top_opponent_short_start_of_void,6,0.0,0.48,-0.48,-5.833333333333333,-0.02,-5.8133333333333335,2.3333333333333335,8.166666666666666,0.8333333333333334,1.3333333333333333,0.3333333333333333
KT,52,R1_rhp_low_of_conversion_run_trade,18,0.1111111111111111,0.5294117647058824,-0.41830065359477125,-4.666666666666667,1.5294117647058822,-6.196078431372549,3.611111111111111,8.277777777777779,0.7777777777777778,0.6111111111111112,0.3888888888888889
KT,52,R2_rhp_ofdh_run_kill,8,0.0,0.45454545454545453,-0.45454545454545453,-5.25,0.22727272727272727,-5.4772727272727275,3.125,8.375,0.75,1.0,1.125
KT,52,R3_extra_out_high_of_void,8,0.0,0.45454545454545453,-0.45454545454545453,-4.5,0.09090909090909091,-4.590909090909091,2.625,7.125,0.75,2.0,0.5
KT,52,R4_top_opponent_short_start_of_void,6,0.0,0.43478260869565216,-0.43478260869565216,-5.833333333333333,0.06521739130434782,-5.898550724637681,2.3333333333333335,8.166666666666666,0.8333333333333334,1.3333333333333333,0.3333333333333333
LG,53,R1_rhp_low_of_conversion_run_trade,16,0.125,0.6216216216216216,-0.4966216216216216,-4.875,1.8918918918918919,-6.766891891891892,3.9375,8.8125,0.875,0.1875,0.3125
LG,53,R2_rhp_ofdh_run_kill,6,0.0,0.5319148936170213,-0.5319148936170213,-4.666666666666667,0.425531914893617,-5.092198581560284,3.5,8.166666666666666,0.6666666666666666,0.3333333333333333,1.1666666666666667
LG,53,R3_extra_out_high_of_void,4,0.0,0.5102040816326531,-0.5102040816326531,-3.25,0.10204081632653061,-3.3520408163265305,3.25,6.5,1.25,1.5,0.5
LG,53,R4_top_opponent_short_start_of_void,2,0.0,0.49019607843137253,-0.49019607843137253,-6.0,0.0784313725490196,-6.078431372549019,1.0,7.0,0.0,0.0,0.0
NC,56,R1_rhp_low_of_conversion_run_trade,16,0.0625,0.575,-0.5125,-5.6875,1.475,-7.1625,3.1875,8.875,0.8125,0.6875,0.4375
NC,56,R2_rhp_ofdh_run_kill,8,0.0,0.5,-0.5,-5.125,0.1875,-5.3125,2.875,8.0,0.875,1.0,1.125
NC,56,R3_extra_out_high_of_void,8,0.0,0.5,-0.5,-4.5,0.08333333333333333,-4.583333333333333,2.625,7.125,0.75,2.0,0.5
NC,56,R4_top_opponent_short_start_of_void,6,0.0,0.48,-0.48,-5.833333333333333,0.06,-5.893333333333333,2.3333333333333335,8.166666666666666,0.8333333333333334,1.3333333333333333,0.3333333333333333
두산,55,R1_rhp_low_of_conversion_run_trade,18,0.1111111111111111,0.5675675675675675,-0.45645645645645644,-4.944444444444445,1.5945945945945945,-6.539039039039039,3.611111111111111,8.555555555555555,0.7777777777777778,0.6111111111111112,0.4444444444444444
두산,55,R2_rhp_ofdh_run_kill,9,0.0,0.5,-0.5,-5.111111111111111,0.34782608695652173,-5.458937198067632,3.111111111111111,8.222222222222221,0.7777777777777778,0.8888888888888888,1.1111111111111112
두산,55,R3_extra_out_high_of_void,7,0.0,0.4791666666666667,-0.4791666666666667,-4.857142857142857,0.08333333333333333,-4.94047619047619,2.857142857142857,7.714285714285714,0.8571428571428571,2.142857142857143,0.42857142857142855
두산,55,R4_top_opponent_short_start_of_void,6,0.0,0.46938775510204084,-0.46938775510204084,-5.833333333333333,0.10204081632653061,-5.9353741496598635,2.3333333333333335,8.166666666666666,0.8333333333333334,1.3333333333333333,0.3333333333333333
롯데,55,R1_rhp_low_of_conversion_run_trade,19,0.10526315789473684,0.5833333333333334,-0.47807017543859653,-5.2631578947368425,1.5555555555555556,-6.818713450292398,3.526315789473684,8.789473684210526,0.8421052631578947,0.5789473684210527,0.42105263157894735
롯데,55,R2_rhp_ofdh_run_kill,8,0.0,0.48936170212765956,-0.48936170212765956,-5.375,-0.02127659574468085,-5.3537234042553195,2.625,8.0,0.5,1.0,1.125
롯데,55,R3_extra_out_high_of_void,8,0.0,0.48936170212765956,-0.48936170212765956,-4.5,-0.1702127659574468,-4.329787234042553,2.625,7.125,0.75,2.0,0.5
롯데,55,R4_top_opponent_short_start_of_void,6,0.0,0.46938775510204084,-0.46938775510204084,-5.833333333333333,-0.1836734693877551,-5.649659863945578,2.3333333333333335,8.166666666666666,0.8333333333333334,1.3333333333333333,0.3333333333333333
삼성,56,R1_rhp_low_of_conversion_run_trade,19,0.10526315789473684,0.5675675675675675,-0.4623044096728307,-4.894736842105263,1.6756756756756757,-6.570412517780938,3.736842105263158,8.631578947368421,0.8947368421052632,0.5789473684210527,0.42105263157894735
삼성,56,R2_rhp_ofdh_run_kill,9,0.0,0.48936170212765956,-0.48936170212765956,-5.111111111111111,0.3191489361702128,-5.430260047281323,3.111111111111111,8.222222222222221,0.7777777777777778,0.8888888888888888,1.1111111111111112
