keyword,count,top_tags
LG,2005,"power:680,front_office:509,run_creation:281,injury_depth:258,park_context:218"
2026,1743,"power:677,park_context:609,front_office:355,run_creation:241,injury_depth:167"
외국인,1673,"foreign_hitter:1223,front_office:664,injury_depth:553,power:322,onbase_discipline:207"
홈런,1613,"power:1613,park_context:697,run_creation:285,onbase_discipline:225,foreign_hitter:168"
있다,1531,"power:564,front_office:359,park_context:355,run_creation:247,injury_depth:198"
KBO리그,1492,"power:522,park_context:465,front_office:381,run_creation:241,injury_depth:192"
선발,1284,"power:379,injury_depth:322,outfield:318,front_office:309,park_context:303"
한화,1200,"power:419,front_office:374,run_creation:249,injury_depth:234,onbase_discipline:225"
투수,1180,"front_office:531,injury_depth:458,foreign_hitter:296,power:176,onbase_discipline:171"
열린,1160,"park_context:534,power:524,front_office:245,run_creation:217,onbase_discipline:173"
선수,1093,"foreign_hitter:820,front_office:481,injury_depth:369,power:148,onbase_discipline:131"
KIA,1059,"power:360,foreign_hitter:320,front_office:270,injury_depth:262,run_creation:184"
인천,1031,"park_context:1031,power:384,front_office:305,run_creation:234,injury_depth:193"
두산,1027,"power:400,park_context:258,front_office:248,injury_depth:230,foreign_hitter:223"
키움,988,"power:351,park_context:255,run_creation:224,foreign_hitter:203,front_office:182"
삼성,965,"power:284,front_office:240,run_creation:210,park_context:200,injury_depth:176"
롯데,867,"power:272,front_office:255,park_context:243,run_creation:195,injury_depth:180"
타선,812,"run_creation:812,power:273,onbase_discipline:166,park_context:155,injury_depth:152"
서울,791,"power:255,front_office:179,run_creation:94,onbase_discipline:51,outfield:49"
대체,751,"foreign_hitter:568,front_office:419,injury_depth:416,onbase_discipline:115,power:105"
지난,732,"injury_depth:296,front_office:270,power:212,foreign_hitter:191,run_creation:169"
SOL,721,"power:185,park_context:179,front_office:165,run_creation:122,outfield:79"
이날,712,"power:201,run_creation:189,front_office:156,outfield:140,injury_depth:121"
KT,710,"power:220,front_office:190,park_context:170,run_creation:152,injury_depth:132"
신한,659,"power:192,park_context:185,front_office:149,run_creation:123,onbase_discipline:82"
에레디아,618,"outfield:252,power:210,park_context:101,run_creation:97,front_office:81"
KBO,613,"front_office:233,power:169,foreign_hitter:142,injury_depth:124,park_context:92"
영입,608,"front_office:608,foreign_hitter:223,injury_depth:199,onbase_discipline:69,power:55"
감독,604,"front_office:604,injury_depth:111,park_context:106,power:98,run_creation:89"
10일,601,"power:245,front_office:134,run_creation:59,injury_depth:43,onbase_discipline:42"
하재훈,595,"power:219,outfield:186,park_context:150,onbase_discipline:149,front_office:101"
랜더스와,579,"power:186,front_office:183,park_context:123,foreign_hitter:111,injury_depth:104"
