name,articles,latest_pub_date,sample_titles
타케다,485,2026-06-11 13:27:00+00:00,"영건·외국인 투수 앞세운 프로야구 SSG …분위기 반전 도모 | 선발 ERA 압도적 꼴찌, 선발투수 1명이 절실한 SSG …1R 신인이 희망될까... | '무실점 복귀 신고' 시라카와...KIA, 황동하 이어 시라카와로 선발 숨통... | 시라카와, 657일 만의 KBO 복귀전서 무실점 호투...KIA, 롯데에 대승 | '13연패 탈출' SSG , 외국인 선발 평균자책점 7.46 고민"
베니지아노,452,2026-06-10 01:57:00+00:00,"‘선발 꼴찌’ SSG , 조금씩 보이는 ‘희망 불씨’→베니지아노 ‘반등 ... | '새 외인' 해치 SSG 구원할까…""나는 스트라이크 잘 던지는 투수"" | 영건·외국인 투수 앞세운 프로야구 SSG …분위기 반전 도모 | 선발 ERA 압도적 꼴찌, 선발투수 1명이 절실한 SSG …1R 신인이 희망될까... | 13연패 후 반등 SSG , '선두 경쟁' LG·삼성과 차례로 격돌[주간 야구전망..."
화이트,443,2026-06-11 04:26:00+00:00,"'ERA 꼴찌' SSG 가 새 외인에 거는 기대 ""커맨드 안정적…비자만 나오면 ... | [현장 포커스] 패배보다 값진 경험, 김민준·최윤석 SSG '2006년생 듀오'... | 선발 ERA 압도적 꼴찌, 선발 투수 1명이 절실한 SSG …1R 신인이 희망될까... | 선발 ERA 압도적 꼴찌, 선발투수 1명이 절실한 SSG …1R 신인이 희망될까... | 13연패 끊은 SSG랜더스 '산 넘어 산'··· 선두 LG·삼성 6연전 돌입"
김광현,399,2026-06-09 09:08:00+00:00,"연패 탈출 성공한 SSG , 투수 진 물음표는 여전 | 충격의 13연패, '삼미-태평양 잔혹사' 소환시킨 SSG | '내외부' 흔들리는 SSG , 창단 최다 9연패 '스벅 파문' 속 위기 고조 | SSG 9연패는 외국인 투수 운용 실패에 따른 예견된 '참사'...김재환 영입... | 베니지아노 '9G QS 0' 충격! 이숭용 솔직 고백 ""외인 교체 ? 부지런히 움..."
긴지로,147,2026-06-10 22:00:00+00:00,"선발 ERA 압도적 꼴찌, 선발 투수 1명이 절실한 SSG …1R 신인이 희망될까... | 선발 ERA 압도적 꼴찌, 선발투수 1명이 절실한 SSG …1R 신인이 희망될까... | 1선발 방출 충격요법? ‘7이닝 무실점 8K’ 베니지아노 “많은 일 있었... | ‘화이트 교체에 정신 바짝 차렸나’ ERA 5.81 좌완 외인, KKKKKKKK 압도적... | ‘화이트 교체 에 정신 바짝 차렸나’ ERA 5.81 좌완 외인, KKKKKKKK 압도적..."
김민,118,2026-06-11 09:00:00+00:00,"LG 송승기· SSG 최민준, 나란히 1군 엔트리 제외(종합) | SSG 차세대 토종 선발, 김민준의 야구가 시작됐다 | SSG 차세대 토종 선발 , 김민준의 야구가 시작됐다 | '1군 데뷔전서 5실점+패전' 1R 신인, 사령탑은 어떻게 봤을까 ""퍼포먼스... | 데뷔전 치른 김민준 격려한 SSG 이숭용 감독 ""계속 선발 기회 줄 것"""
김건우,97,2026-06-11 14:26:00+00:00,"'청라 에이스' 꿈꾸는 SSG 토종 1선발 김건우 | '7승' 류현진·올러, 다승 공동 1위… SSG , 13연패 뒤 3연승(종합) | 박성한·최정 뜨겁다… SSG , 한화·롯데 6연전서 선두 탈환 노린다 | '올러 완봉승·김도영 연타석포' KIA, 5연패 탈출… SSG , KT 꺾고 4연승(종... | KBO 프로야구, 11일 경기 중계 일정→선발 투수 ?"
최민준,86,2026-06-11 09:00:00+00:00,"LG 송승기· SSG 최민준, 나란히 1군 엔트리 제외(종합) | '오스틴 멀티포' LG, SSG 에 역전승…롯데 김태형 감독 800승(종합) | '오스틴 만루 홈런' LG, SSG 에 8-6 역전승…선두 질주 | 복덩이 외국인 타자 파괴력 미쳤다!…‘오스틴 추격포+역전 만루포 폭발... | '오스틴 멀티 홈런' LG, SSG 에 8-6 역전승…'새 외인' 리오스, 리그 데뷔"
조병현,78,2026-06-11 11:34:00+00:00,"[프로야구] SSG 불펜 붕괴 12연패 늪, 불펜 약한 한화는 대체카드 눈길 | 삼성, SSG 8연패 몰아넣고 선두 수성…NC, 한화 4연승 저지(종합) | '하필 선두 삼성이라니'…7연패 수렁 SSG , 신세계 인수 후 최다 연패 위... | '문현빈·페라자 홈런' 한화, 선두 KT 잡고 연승…'박재현 9회 역전포' K... | 불 못 끄는 소방수… 선발도 ‘마무리 특명’"
노경은,73,2026-06-04 07:45:00+00:00,"봐봐, 끊낼 수 있잖아! ‘13연패 악몽’ 털어낸 SSG “실망 안겨 죄송…... | '내외부' 흔들리는 SSG , 창단 최다 9연패 '스벅 파문' 속 위기 고조 | '콜드게임 충격' 김주원 송구·박동원 태그, 세밀함 잃은 도미니카전[WB... | 류현진 괴력 타선에 격침…도미니카와 8강전 1⅔이닝 3실점[2026 WBC] | 믿었던 류현진 1⅔이닝 3실점 조기 강판 , 결국 넘지 못한 도미니카 핵타..."
이로운,44,2026-06-10 12:50:00+00:00,"봐봐, 끊낼 수 있잖아! ‘13연패 악몽’ 털어낸 SSG “실망 안겨 죄송…... | [프로야구] SSG 불펜 붕괴 12연패 늪, 불펜 약한 한화는 대체카드 눈길 | 불펜까지 무너진 SSG , 8연패로 7위까지 추락 | '하필 선두 삼성이라니'…7연패 수렁 SSG , 신세계 인수 후 최다 연패 위... | '웰스 8이닝 무실점' LG, 3연승 질주…'5연패' 롯데, 최하위 추락(종합)"
