query,articles,strategy_signals,avg_signal_score,latest_pub_date
SSG 외국인 투수,400,400,9.25,2026-06-11 13:23:00+00:00
SSG 불펜 과부하,352,352,6.377840909090909,2026-06-11 15:00:00+00:00
SSG 선발진 문제,342,342,7.260233918128655,2026-06-11 08:21:00+00:00
SSG 타케다,327,327,7.568807339449541,2026-06-11 13:27:00+00:00
SSG 외국인 투수 교체,316,316,9.395569620253164,2026-06-07 15:51:00+00:00
SSG 김광현 부상,311,311,7.633440514469453,2026-06-08 07:34:00+00:00
SSG 베니지아노,304,304,7.259868421052632,2026-06-10 01:57:00+00:00
SSG 조기 강판,295,295,7.240677966101695,2026-06-11 14:26:00+00:00
SSG 외국인 선수 교체,241,241,7.639004149377594,2026-06-07 02:50:00+00:00
SSG 화이트 투수,226,226,8.261061946902656,2026-06-11 04:26:00+00:00
SSG 선발 로테이션,225,225,7.36,2026-06-11 06:52:00+00:00
SSG 대체 외국인 투수,187,187,9.235294117647058,2026-06-09 08:38:00+00:00
SSG 투수진,275,177,5.9781818181818185,2026-06-11 13:02:00+00:00
SSG 랜더스 외국인 투수,21,21,9.333333333333334,2026-06-08 09:16:00+00:00
