context_family,context_label,label_ko,ops,lg_ops,ops_vs_lg,OPS_rank,team_count,iso_calc,bb_pct,k_pct,ops_vs_lg_z,weakness_flag,weakness_severity,feature_contract
count,3B_0S,3B_0S,0.9818181818181818,1.3358314097877666,-0.3540132279695848,6.0,10,0.0,0.9818181818181818,0.0,-4.077148717009523,True,4.077148717009523,
runner,bases_loaded,만루,0.6269170579029734,0.7232768686721932,-0.09635981076921984,6.0,10,0.0704225352112676,0.0777777777777777,0.2666666666666666,-1.082573411032753,True,1.082573411032753,risp_ops + clutch_pressure_proxy
runner,on_first,1루 주자만,0.6485126776139956,0.7417000655310828,-0.09318738791708725,10.0,10,0.1124694376528117,0.08008658008658,0.170995670995671,-1.045701945339267,True,1.045701945339267,"runner_advancement_proxy → SB threat, contact ability"
count,2B_0S,2B_0S,0.9836956521739132,1.0222077526860789,-0.03851210051216569,5.0,10,0.2391304347826087,0.0204081632653061,0.0,-0.4102387433021046,True,0.4102387433021046,
inning,early_1_3,초반(1~3이닝),0.698725451944336,0.7223685132568286,-0.023643061312492608,8.0,10,0.1487839771101573,0.1081761006289308,0.2025157232704402,-0.23742342381299614,True,0.23742342381299614,early_inning_support (kbo_translation_index)
pitcher_type,vs_right_under,우언더/사이드암 상대,0.711888111888112,0.7284914383990795,-0.01660332651096752,6.0,10,0.0961538461538462,0.0363636363636363,0.2,-0.15560414803417502,True,0.15560414803417502,abs_zone_discipline_score (low/outside zone)
outs,2_out,2사,0.7192161952500298,0.7349876936052147,-0.015771498355184876,8.0,10,0.1345029239766081,0.1198979591836734,0.2066326530612245,-0.14593623025070626,True,0.14593623025070626,"two_out_contact_proxy → chase_pct, zone_contact_pct"
count,1B_2S,1B_2S,0.4318865345181135,0.44382078053937457,-0.011934246021261086,7.0,10,0.0789473684210526,0.0,0.4519480519480519,-0.10133778786702172,True,0.10133778786702172,
home_away,away,원정,0.7362815884476535,0.7412549516073206,-0.004973363159667121,7.0,10,0.121841155234657,0.1075851393188854,0.1710526315789473,-0.020434968290147574,True,0.020434968290147574,road_durability_proxy
runner,on_second,2루 주자만,0.7649933244325768,0.7659958888484294,-0.0010025644158525582,5.0,10,0.1257142857142857,0.1705069124423963,0.1935483870967742,0.02571561644664911,True,0.0,
runner,runner_on_base,주자 있을 때,0.7559137139107612,0.7541145143543995,0.0017991995563617635,6.0,10,0.1364583333333333,0.1239242685025817,0.1721170395869191,0.058279101517153,False,0.0,
pitcher_type,vs_left_orthodox,좌정통 상대,0.7680213274426464,0.7633824964791753,0.004638830963471063,4.0,10,0.1306042884990253,0.1151919866444073,0.1786310517529215,0.0912827006240603,False,0.0,
pitcher_type,vs_left,좌투수 상대,0.7680213274426464,0.7633824964791753,0.004638830963471063,4.0,10,0.1306042884990253,0.1151919866444073,0.1786310517529215,0.0912827006240603,False,0.0,
overall,all,전체,0.7529869636569937,0.7446526340253442,0.008334329631649484,7.0,10,0.1478507321681625,0.1047034764826175,0.1885480572597137,0.13423361187237215,False,0.0,
pitcher_type,vs_right,우투수 상대,0.7481065349726121,0.7379733769837724,0.010133157988839736,5.0,10,0.1533665835411471,0.101409978308026,0.1919739696312364,0.15514048373405478,False,0.0,
pitcher_type,vs_right_orthodox,vs_right_orthodox,0.7492929413061513,0.7381009659047754,0.011191975401375953,6.0,10,0.1552835051546391,0.1034097261039687,0.1917272219116825,0.16744658280144448,False,0.0,
runner,no_runner,주자 없을 때,0.7497522372805024,0.735643766288426,0.01410847099207646,4.0,10,0.1573033707865168,0.087431693989071,0.2037470725995316,0.20134353542408373,False,0.0,
outs,1_out,1사,0.7691952320496543,0.7520580793512842,0.01713715269837013,6.0,10,0.1525179856115107,0.1056511056511056,0.1855036855036855,0.23654437050665356,False,0.0,
home_away,home,홈,0.7712110654762163,0.7486163184355097,0.02259474704070663,3.0,10,0.176412289395441,0.1014744145706851,0.2081526452732003,0.2999752282270078,False,0.0,
outs,0_out,무사,0.768790342448879,0.7453456756980165,0.02344466675086254,5.0,10,0.1558265582655826,0.0899408284023668,0.1751479289940828,0.3098534149933668,False,0.0,
inning,middle_4_6,중반(4~6이닝),0.7692507505987922,0.7452934980043666,0.023957252594425604,4.0,10,0.1438450899031811,0.0893719806763285,0.1763285024154589,0.3158109409055248,False,0.0,
inning,late_7_9,후반(7~9이닝),0.7840136054421769,0.7582555368664512,0.025758068575725712,4.0,10,0.15625,0.1175726927939317,0.1883691529709228,0.3367409139165794,False,0.0,
count,3B_2S,3B_2S,0.863981288981289,0.8267075830664293,0.03727370591485968,4.0,10,0.1243243243243243,0.3987138263665595,0.2347266881028939,0.47058134026550563,False,0.0,
count,0B_2S,0B_2S,0.4454649827784156,0.3894379534767551,0.056027029301660536,2.0,10,0.082051282051282,0.0,0.4228855721393035,0.688541729571885,False,0.0,
count,2B_2S,2B_2S,0.5672208013640239,0.5005828651963592,0.06663793616766467,1.0,10,0.1117647058823529,0.0,0.3739130434782609,0.8118669313884217,False,0.0,
runner,risp,득점권(RISP),0.8308199490154528,0.7622964298933615,0.0685235191220912,1.0,10,0.1542649727767695,0.1528571428571428,0.1728571428571428,0.8337821080394862,False,0.0,risp_ops (candidate_hitter_features)
count,3B_1S,3B_1S,1.5587044534412955,1.3857114502489885,0.17299300319230704,1.0,10,0.3846153846153846,0.6637168141592921,0.0,2.047978064080386,False,0.0,
