relative_path,rows,columns,column_names
feature/core/games_labels.csv,2949,14,s_no|gameDate_kst|awayTeam|awayTeam_name|homeTeam|homeTeam_name|awayScore|homeScore|state|state_name|is_finished|home_win|away_win|run_diff_home_minus_away
feature/core/games_lineup_starters.csv,55148,13,request_s_no|s_no|t_code|t_code_name|p_no|p_name|battingOrder|position|position_name|p_bat|p_bat_name|p_throw|p_throw_name
feature/core/games_pregame_base.csv,2644,33,s_no|gameDate_kst|gameDate|year|month|day|week|hm|awayTeam|awayTeam_name|homeTeam|homeTeam_name|awaySP|awaySPName|homeSP|homeSPName|leagueType|leagueType_name|halfYear|halfYear_name|weather|weather_name|temperature|humidity|windDirection|windDirection_name|windSpeed|rainprobability|state|state_name|is_regular_season|is_postseason|is_exhibition
feature/core/games_starting_pitcher_recent_form.csv,2644,30,s_no|gameDate_kst|homeTeam|homeTeam_name|awayTeam|awayTeam_name|homeSP|homeSPName|awaySP|awaySPName|home_sp_request_p_no|home_sp_p_no|home_sp_t_code|home_sp_t_code_name|home_sp_prior_starts_count|home_sp_prior_ip_3|home_sp_prior_era_3|home_sp_prior_whip_3|home_sp_prior_so_3|home_sp_rest_days|away_sp_request_p_no|away_sp_p_no|away_sp_t_code|away_sp_t_code_name|away_sp_prior_starts_count|away_sp_prior_ip_3|away_sp_prior_era_3|away_sp_prior_whip_3|away_sp_prior_so_3|away_sp_rest_days
feature/core/games_team_recent_form.csv,2644,20,s_no|gameDate_kst|homeTeam|homeTeam_name|awayTeam|awayTeam_name|home_team_code|home_prior_games_count|home_prior_win_pct_5|home_prior_win_pct_10|home_prior_runs_scored_5|home_prior_runs_allowed_5|home_rest_days|away_team_code|away_prior_games_count|away_prior_win_pct_5|away_prior_win_pct_10|away_prior_runs_scored_5|away_prior_runs_allowed_5|away_rest_days
feature/core/players_batter_season_profile.csv,895,27,query_p_no|year|p_no|p_name|t_code|t_code_name|p_position|bat_g|bat_gs|bat_pa|bat_ab|bat_avg|bat_obp|bat_ops|bat_slg|bat_hr|bat_rbi|bat_sb|bat_bb|bat_so|bat_wrc_plus|bat_war|bat_war_off|bat_war_def|bat_woba|bat_babip|bat_bbk
feature/core/players_pitcher_season_profile.csv,863,26,query_p_no|year|p_no|p_name|t_code|t_code_name|pitch_g|pitch_gs|pitch_ip|pitch_era|pitch_fip|pitch_whip|pitch_w|pitch_l|pitch_so|pitch_bb|pitch_hr|pitch_obp_allowed|pitch_ops_allowed|pitch_slg_allowed|pitch_war|pitch_tbf|pitch_k9|pitch_bb9|pitch_hr9|pitch_kbb
feature/core/teams_season_strength.csv,30,28,query_year|year|t_code|t_code_name|team_bat_avg|team_bat_obp|team_bat_slg|team_bat_ops|team_bat_pa|team_bat_r|team_bat_rbi|team_bat_sb|team_bat_bb|team_bat_so|team_bat_hr|team_bat_war|team_pit_era|team_pit_fip|team_pit_whip|team_pit_ip|team_pit_tbf|team_pit_h|team_pit_bb|team_pit_so|team_pit_hr|team_pit_war|team_pit_ra9|team_pit_r
organized/games/games_boxscore_gameinfo.csv,2366,41,request_s_no|s_no|gameDate_kst|gameDate|gameDateResume_kst|gameDateResume|year|awayTeam|awayTeam_name|homeTeam|homeTeam_name|awaySP|awaySPName|homeSP|homeSPName|leagueType|leagueType_name|halfYear|halfYear_name|state|state_name|weather|weather_name|windDirection|windDirection_name|awayScore|day|endTime|hm|homeScore|humidity|loseP|month|rainprobability|s_code|saveP|startTime|temperature|week|winP|windSpeed
organized/games/games_boxscore_inning_lines.csv,42089,8,request_s_no|inning|inningMode|inningMode_name|B|E|H|R
organized/games/games_lineup.csv,55190,18,request_s_no|s_no|p_no|p_name|t_code|t_code_name|team_bucket|team_bucket_name|battingOrder|position|position_name|starting|lineupState|p_bat|p_bat_name|p_throw|p_throw_name|p_backNumber
organized/games/games_schedule.csv,2959,39,s_no|gameDate_kst|gameDate|gameDateResume_kst|gameDateResume|request_year|year|request_day|request_month|awayTeam|awayTeam_name|homeTeam|homeTeam_name|awaySP|awaySPName|homeSP|homeSPName|leagueType|leagueType_name|halfYear|halfYear_name|state|state_name|weather|weather_name|windDirection|windDirection_name|response_key|awayScore|day|hm|homeScore|humidity|month|rainprobability|s_code|temperature|week|windSpeed
organized/players/players_day_batting.csv,58647,60,record_role|s_no|gameDate_kst|gameDate|request_year|request_p_no|p_no|t_code|t_code_name|awayTeam|awayTeam_name|battingOrder|position|position_name|record_key|1B|2B|3B|AB|AVG|BB|BH|BS|CG|CS|ER|ERA|G|GDP|GS|H|HD|HP|HR|IB|IP|L|NP|OBP|OPS|PA|R|RBI|S|SB|SF|SH|SHO|SLG|SO|TB|TBF|W|WHIP|awayScore|ePA|homeScore|rRA|situation|vs_tCode
organized/players/players_day_pitching.csv,23202,60,record_role|s_no|gameDate_kst|gameDate|request_year|request_p_no|p_no|t_code|t_code_name|awayTeam|awayTeam_name|battingOrder|position|position_name|record_key|1B|2B|3B|AB|AVG|BB|BH|BS|CG|CS|ER|ERA|G|GDP|GS|H|HD|HP|HR|IB|IP|L|NP|OBP|OPS|PA|R|RBI|S|SB|SF|SH|SHO|SLG|SO|TB|TBF|W|WHIP|awayScore|ePA|homeScore|rRA|situation|vs_tCode
organized/players/players_roster_daily.csv,168171,7,request_date|pj_date|p_no|name|t_code|t_code_name|response_key
organized/players/players_season_basic_batting.csv,906,58,record_role|year|query_p_no|p_no|p_name|t_code|t_code_name|leagueType|leagueType_name|2B|3B|AB|AVG|BB|BK|CG|CS|ER|ERA|FIP|G|GDP|GF|GR|GS|H|HD|HP|HR|IB|IP|L|OBP|OPS|PA|QS|R|RBI|ROE|S|SB|SF|SH|SHO|SLG|SO|TB|TBF|W|WAR|WARDef|WAROff|WHIP|WP|ePA|p_nameEN|p_position|wRCplus
organized/players/players_season_basic_pitching.csv,899,58,record_role|year|query_p_no|p_no|p_name|t_code|t_code_name|leagueType|leagueType_name|2B|3B|AB|AVG|BB|BK|CG|CS|ER|ERA|FIP|G|GDP|GF|GR|GS|H|HD|HP|HR|IB|IP|L|OBP|OPS|PA|QS|R|RBI|ROE|S|SB|SF|SH|SHO|SLG|SO|TB|TBF|W|WAR|WARDef|WAROff|WHIP|WP|ePA|p_nameEN|p_position|wRCplus
organized/players/players_season_deepen_batting.csv,907,17,record_role|year|query_p_no|p_no|p_name|t_code|t_code_name|BABIP|BB9|BBK|HR9|K9|KBB|OBP|OPS|SLG|wOBA
organized/players/players_season_deepen_pitching.csv,898,17,record_role|year|query_p_no|p_no|p_name|t_code|t_code_name|BABIP|BB9|BBK|HR9|K9|KBB|OBP|OPS|SLG|wOBA
organized/players/players_season_fielding.csv,1913,9,query_p_no|p_no|p_name|t_code|t_code_name|Ass|E|PO|p_position
